ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_1,Pueblos Indígenas,,,,,,ministerio2009pueblos,,map,
1,Atacama,,,,kunz1244,traditional,ministerio2009pueblos,features,feature,map_1
2,Charrúa,,,,char1240,traditional,ministerio2009pueblos,features,feature,map_1
3,Comechingón,,,,,traditional,ministerio2009pueblos,features,feature,map_1
4,Diaguita,,,,calc1235,traditional,ministerio2009pueblos,features,feature,map_1
5,Diaguita Calchaqui,,,,calc1235,traditional,ministerio2009pueblos,features,feature,map_1
6,Huarpe,,,,alle1238,traditional,ministerio2009pueblos,features,feature,map_1
7,Kolla,,,,ayma1253,traditional,ministerio2009pueblos,features,feature,map_1
8,Kolla atacama,,,,kunz1244,traditional,ministerio2009pueblos,features,feature,map_1
9,Kolla tastil,,,,,traditional,ministerio2009pueblos,features,feature,map_1
10,Kolla tilián,,,,ayma1253,traditional,ministerio2009pueblos,features,feature,map_1
11,Lule Vilela,,,,lule1238,traditional,ministerio2009pueblos,features,feature,map_1
12,Mapuche,,,,arau1255,traditional,ministerio2009pueblos,features,feature,map_1
13,Mapuche Tehuelche,,,,tehu1242,traditional,ministerio2009pueblos,features,feature,map_1
14,Mapuche tehuelche,,,,tehu1242,traditional,ministerio2009pueblos,features,feature,map_1
15,Mbyá Guarani,,,,mbya1239,traditional,ministerio2009pueblos,features,feature,map_1
16,Mocoví,,,,moco1246,traditional,ministerio2009pueblos,features,feature,map_1
17,Ocloya,,,,ayma1253,traditional,ministerio2009pueblos,features,feature,map_1
18,Pilagá,,,,pila1245,traditional,ministerio2009pueblos,features,feature,map_1
19,Qom (Toba),,,,qomm1235,traditional,ministerio2009pueblos,features,feature,map_1
20,Rankulche (Ranquél),,,,puel1244,traditional,ministerio2009pueblos,features,feature,map_1
21,Sanavirón,,,,,traditional,ministerio2009pueblos,features,feature,map_1
22,Selk'n am (Ona),,,,onaa1245,traditional,ministerio2009pueblos,features,feature,map_1
23,Tehuelche,,,,tehu1242,traditional,ministerio2009pueblos,features,feature,map_1
24,Varios,,,,,traditional,ministerio2009pueblos,features,feature,map_1
25,Wichí,,,,wich1264,traditional,ministerio2009pueblos,features,feature,map_1
