ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Feature_IDs,Glottolog_Languoid_Level,Family,Speaker_Area
alle1238,Allentiac,,-33.480938,-68.096924,alle1238,,6,language,Huarpean,languages
calc1235,Calchaqui,,,,calc1235,,4 5,language,Unclassifiable,languages
char1240,Charrúa,,-34.9,-56.16,char1240,,2,language,Charruan,languages
kunz1244,Kunza,,-23.0,-69.0,kunz1244,,1 8,language,,languages
lule1238,Lule,,-25.221839,-61.887818,lule1238,,11,language,,languages
mbya1239,Mbyá Guaraní,,-26.0188,-52.711,mbya1239,,15,language,Tupian,languages
moco1246,Mocoví,,-28.097,-60.4145,moco1246,,16,language,Guaicuruan,languages
onaa1245,Selk'nam,,-54.0,-68.5,onaa1245,,22,language,Chonan,languages
pila1245,Pilagá,,-25.0058,-60.1537,pila1245,,18,language,Guaicuruan,languages
puel1244,Puelche,,-42.223,-68.666,puel1244,,20,language,,languages
tehu1242,Tehuelche,,-47.5796,-68.3235,tehu1242,,13 14 23,language,Chonan,languages
wich1264,Güisnay,,-23.1633,-62.1757,wich1264,,25,language,Mataguayan,languages
arau1255,Araucanian,,,,arau1255,,12,family,,families
ayma1253,Aymaran,,,,ayma1253,,7 10 17,family,,families
char1238,Charruan,,,,char1238,,2,family,,families
chon1288,Chonan,,,,chon1288,,13 14 22 23,family,,families
guai1249,Guaicuruan,,,,guai1249,,16 18 19,family,,families
huar1251,Huarpean,,,,huar1251,,6,family,,families
mata1289,Mataguayan,,,,mata1289,,25,family,,families
tupi1275,Tupian,,,,tupi1275,,15,family,,families
uncl1493,Unclassifiable,,,,uncl1493,,4 5,family,,families
